episode,steps,reward,success,trajectory
11,100,-9.99999999999998,0,"[(1, 6), (1, 5), (1, 4), (2, 4), (2, 3), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2), (3, 3), (3, 2)]"
12,100,-9.99999999999998,0,"[(2, 3), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1)]"
13,100,-9.99999999999998,0,"[(6, 7), (6, 6), (6, 5), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4), (6, 4), (5, 4)]"
14,5,99.5,1,"[(0, 3), (1, 3), (1, 4), (1, 5), (2, 5), (2, 6)]"
15,100,-9.99999999999998,0,"[(3, 4), (2, 4), (1, 4), (0, 4), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5), (0, 5)]"
16,6,99.4,1,"[(4, 5), (3, 5), (2, 5), (1, 5), (0, 5), (0, 6), (0, 7)]"
17,100,-9.99999999999998,0,"[(1, 6), (0, 6), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7), (0, 8), (0, 7)]"
18,100,-9.99999999999998,0,"[(7, 7), (7, 8), (6, 8), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7), (5, 8), (5, 7)]"
19,100,-9.99999999999998,0,"[(4, 7), (3, 7), (2, 7), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6), (2, 6), (1, 6)]"
20,4,99.60000000000001,1,"[(1, 7), (1, 8), (2, 8), (2, 7), (1, 7)]"
21,100,-9.99999999999998,0,"[(7, 5), (6, 5), (6, 6), (6, 7), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8), (6, 8)]"
22,100,-9.99999999999998,0,"[(4, 2), (4, 3), (5, 3), (6, 3), (6, 4), (6, 5), (6, 6), (6, 7), (5, 7), (5, 6), (6, 6), (6, 7), (5, 7), (5, 6), (6, 6), (6, 7), (5, 7), (5, 6), (6, 6), (6, 7), (5, 7), (5, 6), (6, 6), (6, 7), (5, 7), (5, 6), (6, 6), (6, 7), (5, 7), (5, 6), (6, 6), (6, 7), (5, 7), (5, 6), (6, 6), (6, 7), (5, 7), (5, 6), (6, 6), (6, 7), (5, 7), (5, 6), (6, 6), (6, 7), (5, 7), (5, 6), (6, 6), (6, 7), (5, 7), (5, 6), (6, 6), (6, 7), (5, 7), (5, 6), (6, 6), (6, 7), (5, 7), (5, 6), (6, 6), (6, 7), (5, 7), (5, 6), (6, 6), (6, 7), (5, 7), (5, 6), (6, 6), (6, 7), (5, 7), (5, 6), (6, 6), (6, 7), (5, 7), (5, 6), (6, 6), (6, 7), (5, 7), (5, 6), (6, 6), (6, 7), (5, 7), (5, 6), (6, 6), (6, 7), (5, 7), (5, 6), (6, 6), (6, 7), (5, 7), (5, 6), (6, 6), (6, 7), (5, 7), (5, 6), (6, 6), (6, 7), (5, 7), (5, 6), (6, 6), (6, 7), (5, 7)]"
