episode,steps,reward,success,trajectory
23,100,-9.99999999999998,0,"[(2, 6), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7), (2, 7), (3, 7)]"
24,100,-9.99999999999998,0,"[(5, 6), (5, 5), (4, 5), (4, 4), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3), (3, 3), (4, 3)]"
25,100,-9.99999999999998,0,"[(3, 9), (3, 8), (3, 7), (2, 7), (1, 7), (1, 6), (0, 6), (0, 5), (0, 4), (1, 4), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3), (0, 3), (1, 3)]"
26,100,-9.99999999999998,0,"[(6, 2), (5, 2), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2), (4, 1), (4, 2)]"
27,100,-9.99999999999998,0,"[(1, 7), (2, 7), (3, 7), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5), (3, 6), (3, 5)]"
28,100,-9.99999999999998,0,"[(5, 0), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7), (5, 7)]"
29,100,-9.99999999999998,0,"[(6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4), (6, 5), (6, 4)]"
30,100,-9.99999999999998,0,"[(3, 9), (3, 8), (3, 7), (3, 6), (3, 5), (4, 5), (4, 4), (4, 3), (4, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2), (3, 2), (2, 2)]"
31,100,-9.99999999999998,0,"[(9, 0), (9, 1), (9, 2), (8, 2), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2), (7, 3), (7, 2)]"
32,7,99.30000000000001,1,"[(3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (4, 6), (4, 7), (3, 7)]"
33,100,-9.99999999999998,0,"[(1, 6), (1, 5), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4), (1, 3), (1, 4)]"
34,15,98.5,1,"[(0, 8), (0, 7), (0, 6), (0, 5), (0, 4), (0, 3), (1, 3), (1, 2), (1, 1), (2, 1), (3, 1), (4, 1), (4, 0), (5, 0), (6, 0), (7, 0)]"
35,100,-9.99999999999998,0,"[(4, 2), (4, 3), (4, 4), (3, 4), (3, 5), (4, 5), (5, 5), (5, 6), (5, 7), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8), (5, 8), (6, 8)]"
36,100,-9.99999999999998,0,"[(1, 4), (2, 4), (3, 4), (4, 4), (5, 4), (5, 5), (5, 6), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7), (6, 6), (6, 7)]"
37,100,-9.99999999999998,0,"[(6, 6), (5, 6), (5, 7), (4, 7), (4, 8), (3, 8), (2, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8), (1, 8), (0, 8)]"
38,2,99.80000000000001,1,"[(5, 8), (5, 9), (6, 9)]"
39,100,-9.99999999999998,0,"[(1, 1), (1, 2), (1, 3), (0, 3), (0, 4), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5), (0, 5), (1, 5)]"
40,3,99.7,1,"[(0, 4), (0, 3), (0, 2), (0, 1)]"
41,6,99.4,1,"[(0, 3), (0, 2), (0, 1), (1, 1), (2, 1), (2, 0), (3, 0)]"
42,9,99.10000000000001,1,"[(1, 0), (2, 0), (2, 1), (3, 1), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)]"
43,100,-9.99999999999998,0,"[(6, 9), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8), (6, 8), (7, 8)]"
44,100,-9.99999999999998,0,"[(8, 3), (8, 2), (7, 2), (6, 2), (6, 1), (6, 0), (5, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0), (4, 0), (3, 0)]"
45,100,-9.99999999999998,0,"[(9, 2), (9, 1), (8, 1), (8, 2), (7, 2), (6, 2), (5, 2), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1), (5, 1)]"
46,100,-9.99999999999998,0,"[(0, 4), (0, 3), (0, 2), (1, 2), (1, 1), (2, 1), (3, 1), (4, 1), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0), (5, 0), (4, 0)]"
47,100,-9.99999999999998,0,"[(4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8), (3, 8), (4, 8)]"
48,7,99.30000000000001,1,"[(4, 6), (4, 5), (4, 4), (5, 4), (5, 3), (5, 2), (6, 2), (6, 1)]"
49,7,99.30000000000001,1,"[(1, 9), (1, 8), (2, 8), (3, 8), (3, 7), (3, 6), (4, 6), (5, 6)]"
50,100,-9.99999999999998,0,"[(3, 1), (3, 2), (2, 2), (1, 2), (1, 3), (1, 4), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5), (2, 5), (1, 5)]"
51,2,99.80000000000001,1,"[(0, 8), (1, 8), (0, 8)]"
52,7,99.30000000000001,1,"[(8, 6), (7, 6), (7, 5), (7, 4), (7, 3), (6, 3), (6, 2), (6, 1)]"
53,100,-9.99999999999998,0,"[(9, 7), (9, 6), (9, 5), (9, 4), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3), (9, 2), (9, 3)]"
